CODIGO POSTAL;LOCALIDAD;PROVINCIA;MUNICIPIO;SUBDIVISION;LATITUD;LONGITUD;EXACTITUD
35001;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;1
35002;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;1
35003;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;4
35004;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;4
35005;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;1
35006;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;1
35007;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;4
35008;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;1
35009;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;1
35010;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;4
35011;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280944;-154591;1
35012;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280944;-154591;1
35013;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280944;-154591;1
35014;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;4
35015;La Matula;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;3
35015;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;4
35016;Las Palmas De Gran Canaria;Las Palmas;Las Palmas de Gran Canaria;35016;280944;-154591;1
35017;Los Hoyos (Las Palmas De G.C.);Las Palmas;Las Palmas de Gran Canaria;35016;280997;-154134;4
