Provincia;Isla;Municipio;Nombre Playa o ZBM;ID DGE;Clasificación;Grado de Protección;Afluencia maxima anual;Riesgo;Playa o ZBM;ID MAPAMA;Nombre MAPAMA;ID Pilotaje Litoral;Nombre Pilotaje Litoral;Bandera azul;Acceso PMR;Ducha adaptada;Aseo adaptado;Baño asistido;Sombra PMR;Aparcamientos;Aseo;Lavapies;Duchas;Alquiler de sombrillas;Alquiler de hamacas;Alquiler nautico;Area Infantil;Area Deportiva;Longitud (m);Anchura (m);Composición;Color;Condiciones de baño;Condiciones de entorno;Condiciones de acceso;Carga poblacional;Latitud (º);Longitud (º);PSS Registrado DGSE;PSS Nº Registro;PSS Fecha Registro;Fecha de última actualización
Las Palmas;Fuerteventura;Antigua;Caleta de Fuste;101000100;Libre;Moderado;Media;Bajo;Playa;2958;Caleta de Fuste;20001;PLAYA EL CASTILLO / CALETA DE FUSTE;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;600;143;Arena;Dorada;Aguas tranquilas / Ventosa;Urbana;A pie fácil / Coche;27396;"28°23'43.99924200""N";"13°51'28.44354912""W";Si;0019-101000100;07/10/2020;07/12/2023
Las Palmas;Fuerteventura;Antigua;El Muellito;101000200;Libre;Bajo;Baja;Bajo;Playa;2959;El Muellito;20003;PLAYA EL MUELLITO / SALINAS;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;180;17;Callaos / Arena;Dorada;Aguas tranquilas;Semiurbana;A pie fácil / Coche;27396;"28°21'56.84131232""N";"13°52'16.33952685""W";Si;;01/01/2020;07/12/2023
Las Palmas;Fuerteventura;Antigua;Pozo Negro;101000300;Libre;Bajo;Baja;Bajo;Playa;2960;Pozo Negro;20004;PLAYA POZO NEGRO;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;310;12;Callaos / Arena;Oscura;Oleaje moderado / Ventosa;Semiurbana;A pie fácil / Coche;27396;"28°19'25.03355867""N";"13°53'43.87747211""W";Si;;01/01/2020;07/12/2023
Las Palmas;Fuerteventura;Antigua;Playa de Las Marismas-La Guirra;101000400;Libre;Moderado;Media;Bajo;Playa;;;20002;PLAYA DE LAS MARISMAS;No;No;No;No;No;No;Si;Si;No;No;Si;Si;Si;No;Si;852;65;Arena;Dorada;Aguas tranquilas;Urbana;A pie fácil / Coche;27396;"28°23'13.75170891""N";"13°51'45.43569213""W";Si;0020-101000400 ;07/10/2020;07/12/2023
Las Palmas;Fuerteventura;Betancuria;Playa del Valle/Aguas Verdes;102004100;Peligrosa;Moderado;Media;Medio;Playa;203.541;Playa del Valle;20078;PLAYA DEL VALLE / AGUAS VERDES;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;200;50;Callaos / Arena;Oscura;Oleaje fuerte / Ventosa;Semiurbana;Coche;<5.000;"28°29'06.59897511""N";"14°05'40.93026419""W";No;;;07/12/2023
Las Palmas;Fuerteventura;La Oliva;Playa Chica de Corralejo;103006100;Libre;Bajo;Baja;Bajo;Playa;2961;Corralejo;20115;PLAYA CORRALEJO;No;No;No;No;No;No;Si;No;No;Si;No;No;No;No;No;195;25;Arena;Dorada;Aguas tranquilas / Ventosa;Urbana;A pie fácil / Coche;<5.000;"28°44'19.02187832""N";"13°52'02.75319264""W";Si;0098-103006100;02/10/2020;07/04/2025
Las Palmas;Fuerteventura;La Oliva;Caleta de La Burra;103006200;Libre;Bajo;Media;Bajo;Playa;2962;La Barra;20096;PLAYA LA BARRA;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;60;20;Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil;<5.000;"28°41'54.68920818""N";"14°00'59.83191116""W";No;;;07/04/2025
Las Palmas;Fuerteventura;La Oliva;Las Cucharillas;103006300;Libre;Bajo;Baja;Medio;Playa;2963;El Islote;20097;PLAYA EL ISLOTE;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;75;20;Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'05.80630366""N";"14°01'04.01281155""W";No;;;07/04/2025
Las Palmas;Fuerteventura;La Oliva;Caleta de El Río;103006400;Libre;Bajo;Baja;Bajo;Playa;2964;El Río;20098;CALETA DEL RIO;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;390;70;Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'21.22731010""N";"14°00'53.78195119""W";No;;;07/04/2025
Las Palmas;Fuerteventura;La Oliva;Caleta de Punta Gorda;103006500;Libre;Bajo;Baja;Bajo;Playa;2965;Los Charcos III;20100;PLAYA LOS CHARCOS III;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;210;50;Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'42.34902464""N";"14°00'33.95548305""W";No;;;07/04/2025
Las Palmas;Fuerteventura;La Oliva;Caleta del Marrajo;103006600;Libre;Bajo;Baja;Bajo;Playa;2966;Los Charcos II;20101;PLAYA LOS CHARCOS II;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;290;65;Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'40.75581691""N";"14°00'24.67495447""W";No;;;07/04/2025
Las Palmas;Fuerteventura;La Oliva;Caleta del Marrajo;103006700;Libre;Bajo;Baja;Bajo;Playa;2967;Los Charcos I;20102;PLAYA LOS CHARCOS I;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;100;70;Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°42'47.41135096""N";"14°00'16.72617999""W";No;;;07/04/2025
Las Palmas;Fuerteventura;La Oliva;El Charcón;103006800;Libre;Bajo;Baja;Bajo;Playa;2968;El Charcón;20104;EL CHARCÓN;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;325;40;Roca / Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°43'28.51277466""N";"13°59'16.76042523""W";No;;;07/12/2023
Las Palmas;Fuerteventura;La Oliva;Caleta de Beatriz;103006900;Libre;Bajo;Baja;Medio;Playa;2969;Beatriz;20105;CALETA DE BEATRIZ;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;200;18;Grava / Arena;Blanca;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°43'39.54658643""N";"13°58'49.95537083""W";No;;;07/12/2023
Las Palmas;Fuerteventura;La Oliva;Punta Blanca;103007000;Libre;Bajo;Baja;Alto;Playa;2970;Punta Blanca;20106;PUNTA BLANCA;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;90;12;Callaos / Grava / Arena;Dorada;Aguas tranquilas / Ventosa;Aislada;A pie fácil / Coche;<5.000;"28°43'51.69585311""N";"13°58'36.49729657""W";No;;;07/12/2023
Las Palmas;Fuerteventura;La Oliva;Playa de Majanicho;103007100;Libre;Bajo;Baja;Medio;Playa;2971;El Majanicho;20109;PLAYA EL MAJANICHO;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;150;20;Callaos / Arena;Dorada;Aguas tranquilas / Ventosa;Aislada;Coche;<5.000;"28°44'21.57658168""N";"13°56'15.10435601""W";No;;;07/12/2023
Las Palmas;Fuerteventura;La Oliva;La Galera o Corralejo Viejo;103007200;Libre;Bajo;Baja;Bajo;Playa;2972;La Goleta;20117;PLAYA LA GOLETA;No;Si;No;No;No;No;No;Si;No;Si;Si;Si;Si;No;Si;150;30;Arena;Dorada;Aguas tranquilas / Ventosa;Urbana;A pie fácil / Coche;<5.000;"28°44'00.63801064""N";"13°51'59.96405664""W";Si;0099-103007200;02/10/2020;07/04/2025
Las Palmas;Fuerteventura;La Oliva;Dormidero del Bajo Negro;103007300;Peligrosa;Bajo;Baja;Medio;Playa;2973;Punta Prieta;20119;PLAYA PUNTA PRIETA / LOS CORONELES;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;600;35;Callaos / Arena;Dorada;Oleaje moderado / Ventosa;Urbana;A pie fácil;<5.000;"28°43'48.33218197""N";"13°51'21.55946172""W";No;;;07/04/2025
Las Palmas;Fuerteventura;La Oliva;El Charco de las Agujas;103007400;Peligrosa;Bajo;Baja;Bajo;Playa;2974;Puerto Remedios;20120;PLAYA PUERTO REMEDIOS;Si;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;700;20;Callaos / Arena;Dorada;Oleaje moderado / Ventosa;Semiurbana;A pie fácil;<5.000;"28°43'37.99819113""N";"13°50'57.56648828""W";No;;;07/04/2025
Las Palmas;Fuerteventura;La Oliva;Punta Prieta;103007500;Peligrosa;Bajo;Baja;Medio;Playa;2975;Medano;20121;PLAYA MEDANO;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;700;60;Arena;Dorada;Oleaje moderado / Ventosa;Aislada;A pie fácil;<5.000;"28°43'33.35688771""N";"13°50'33.42007668""W";No;;;07/04/2025
